ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
niedzwiedzki 2004 2,"Niedźwiedzki and Pieńkowski, 2004",Fig. 3B,Kayentapus,Jurassic,"Jurassic, Ealry",Theropoda,The1,25.46,14.55
olsen 1980 1,"Olsen, 1980",Fig. 5G,Grallator,Triassic,"Triassic, Late",Theropoda,The1,9.46,6.58
olsen 1980 2,"Olsen, 1980",Fig. 20A (a),Grallator,Jurassic,"Jurassic, Early",Theropoda,The1,3.48,2.8
olsen 1980 3,"Olsen, 1980",Fig. 20A (d),Grallator,Jurassic,"Jurassic, Early",Theropoda,The1,16.38,12.57
olsen 1980 4,"Olsen, 1980",Fig. 20A (g),Grallator,Jurassic,"Jurassic, Early",Theropoda,The2,31.97,22.17
olsen 1980 5,"Olsen, 1980",Fig. 20B (lowest),Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,16.44,10.16
olsen 1984 3,"Olsen and Galton, 1984",Fig. 3I (c),Grallator,Triassic,"Triassic, Late",Theropoda,The2,32.35,22.34
olsen 1984 4,"Olsen and Galton, 1984",Fig. 3I (e),Grallator,Triassic,"Triassic, Late",Theropoda,The3,48.28,36.52
olsen 1984 8,"Olsen and Galton, 1984",Fig. 4B (e),Anchisauripus,Jurassic,"Jurassic, Early",Theropoda,The2,38.93,27.47
olsen 1998 1,"Olsen et al., 1998",Fig. 5A,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The3,47.54,35.07
olsen 2003 1,"Olsen and Rainforth, 2003",Fig. 19.11 B (second pes of trackway),Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,11.18,7.42
olsen 2003 2,"Olsen and Rainforth, 2003",Fig. 19.20 B (second pes),Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,7.23,4.89
olsen 2003 3,"Olsen and Rainforth, 2003",Fig. 19.24 B (third pes),Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,12.81,8.54
olsen 2003 4,"Olsen and Rainforth, 2003",Fig. 19.29 B (second pes),Apatichnus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,22.87,13.52
olsen 2003 5,"Olsen and Rainforth, 2003",Fig. 19.23 D,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,15.73,10.82
pascual-arribas 2009 1,"Pascual-Arribas et al., 2009","Fig. 4 (left trackway, second track)",Iguanodontipus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,54.84,29.82
pascual-arribas 2009 2,"Pascual-Arribas et al., 2009","Fig. 4 (middle trackway, first track)",Iguanodontipus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,59.02,29.22
pascual-arribas 2009 3,"Pascual-Arribas et al., 2009","Fig. 4 (right trackway, third track)",Iguanodontipus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,67,35.15
pittman 1989 1,"Pittman, 1989",Fig. 15.8 A,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,75.29,51.39
pittman 1989 2,"Pittman, 1989",Fig. 15.8 J,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,71.47,48.02
pittman 1989 3,"Pittman, 1989",Fig. 15.8 F,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,57.66,38.09
raath 1972 1,"Raath, 1972",Fig. 1B,NA,NA,NA,Theropoda,The1,13.62,8.28
rainforth 1996 2,"Rainforth and Lockley, 1996",Fig. 1A,Eubrontes,NA,NA,Theropoda,The2,42.21,28.54
razzolini 2017 1,"Razzolini et al., 2017",Fig. 4A,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,46.2,30.81
razzolini 2017 2,"Razzolini et al., 2017",Fig. 4F,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,51.32,36.42
razzolini 2017 3,"Razzolini et al., 2017",Fig. 4G,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,51.4,35.97
razzolini 2017 4,"Razzolini et al., 2017",Fig. 4B,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,56.1,40.42
razzolini 2017 5,"Razzolini et al., 2017",Fig. 4C,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The2,45.83,31.3
razzolini 2017 6,"Razzolini et al., 2017",Fig. 4N,Megalosauripus,Jurassic,"Jurassic, Late",Theropoda,The3,52.84,35.64
rodriguez de la rosa 2012 1,"Rodríguez-de la Rosa et al., 2012",Fig. 7B,NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,47.78,27.49
salisbury 2017 1,"Salisbury et al., 2017",Fig. 19G,Megalosauropus,Cretaceous,"Cretaceous, Early",Theropoda,The2,43.84,30.72
salisbury 2017 2,"Salisbury et al., 2017",Fig. 21C,Yangtzepus,Cretaceous,"Cretaceous, Early",Theropoda,The2,41.46,30
salisbury 2017 3,"Salisbury et al., 2017",Fig. 37C,Wintonopus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn1,25.73,12.11
salisbury 2017 4,"Salisbury et al., 2017",Fig. 39C,Wintonopus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,31.82,15.72
salisbury 2017 5,"Salisbury et al., 2017",Fig. 42C,Walmadanyichnus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,97.48,51.46
salisbury 2017 6,"Salisbury et al., 2017",Fig. 43F,Walmadanyichnus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,70.83,41.46
santos 2013 1,"Santos et al., 2013",Fig. 6A (fourth track),NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,71.81,40.69
shounan 1989 1,"Shounan et al., 1989",Fig. 19.3 D,Changpeipus,Jurassic,NA,Theropoda,The2,39.47,28.38
shounan 1989 2,"Shounan et al., 1989",Fig. 19.3 F,Youngichnus,Jurassic,"Jurassic, Early",Theropoda,The2,38.77,27.17
thulborn 1994 1,"Thulborn, 1994",Fig. 4A,Anomoepus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,10.81,6.55
wagensommer 2012 1,"Wagensommer et al., 2012",Fig. 6H,Kayentapus,Jurassic,"Jurassic, Middle",Theropoda,The3,56.7,38.8
wagensommer 2012 2,"Wagensommer et al., 2012",Fig. 6S,Kayentapus,Jurassic,"Jurassic, Middle",Theropoda,The3,54.28,31.6
wagensommer 2016 1,"Wagensommer et al., 2016",Fig. 7a,Kayentapus,Jurassic,"Jurassic, Early",Theropoda,The2,39.16,26.88
wagensommer 2016 2,"Wagensommer et al., 2016",Fig. 12d,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The2,40.65,29.78
wang 2016 1,"Wang et al., 2016",Fig. 8,Pengxianpus,Jurassic,"Jurassic, Early",Theropoda,The2,35.7,24.07
weems 2006 4,"Weems, 2006",Fig. 4,Kayentapus,Triassic,"Triassic, Late",Theropoda,The2,40.65,27.59
weems 2006 5,"Weems, 2006",Fig. 4,Eubrontes,Triassic,"Triassic, Late",Theropoda,The3,61.89,40.55
